course_id,title,category,level,skills,description
1,Python for Beginners,Programming,Beginner,"python basics coding variables loops","Learn Python programming from scratch"
2,Data Analysis with Pandas,Data Science,Intermediate,"python pandas data analysis csv cleaning","Analyze datasets using Pandas"
3,Machine Learning Basics,AI ML,Beginner,"machine learning sklearn regression classification","Learn basic ML models and workflows"
4,Deep Learning Introduction,AI ML,Advanced,"neural networks deep learning tensorflow keras","Understand deep learning concepts"
5,Web Development with Flask,Web Development,Intermediate,"python flask backend api web app","Build backend web applications using Flask"
6,NLP Text Processing,AI ML,Intermediate,"nlp text processing tfidf classification","Work with text data and NLP pipelines"
7,SQL for Data Analytics,Database,Beginner,"sql database queries analytics joins","Learn SQL for data analysis"
8,Power BI Dashboard Design,Analytics,Beginner,"power bi dashboard visualization reports","Create dashboards and visual reports"
9,Recommendation Systems,AI ML,Advanced,"recommendation similarity cosine filtering tfidf","Build content-based recommendation systems"
10,Git and GitHub Essentials,Tools,Beginner,"git github version control repository commits","Manage code using Git and GitHub"
11,Advanced Python Programming,Programming,Intermediate,"python oop functions modules error handling","Improve Python skills with OOP and modules"
12,Data Visualization with Matplotlib,Data Science,Beginner,"python matplotlib charts graphs visualization","Create charts and graphs using Matplotlib"
13,Exploratory Data Analysis,Data Science,Intermediate,"eda pandas statistics visualization cleaning","Understand data using EDA techniques"
14,Classification Models in ML,AI ML,Intermediate,"classification decision tree logistic regression sklearn","Build machine learning classification models"
15,Regression Models in ML,AI ML,Intermediate,"regression linear regression prediction sklearn","Predict numerical values using regression"
16,AI Chatbot Development,AI ML,Intermediate,"chatbot nlp intent flask responses","Build an AI chatbot for helpdesk support"
17,Fake News Detection with NLP,AI ML,Intermediate,"fake news nlp text classification tfidf","Detect fake and real news using NLP"
18,Data Cleaning Techniques,Data Science,Beginner,"missing values outliers preprocessing pandas","Clean and prepare datasets for ML"
19,Feature Engineering for ML,AI ML,Advanced,"feature selection encoding scaling optimization","Improve ML models with better features"
20,Model Evaluation Metrics,AI ML,Intermediate,"accuracy precision recall f1 mae r2 score","Evaluate ML model performance"
21,API Development with Python,Web Development,Intermediate,"api flask routes json backend","Create APIs using Python and Flask"
22,HTML CSS Web Design,Web Development,Beginner,"html css responsive frontend design","Design responsive web pages"
23,JavaScript Basics,Web Development,Beginner,"javascript dom events frontend","Learn JavaScript for interactive websites"
24,Database Design Fundamentals,Database,Intermediate,"database schema tables normalization sql","Design clean relational databases"
25,Cloud Basics for Developers,Cloud,Beginner,"cloud deployment hosting server web apps","Learn basics of cloud and deployment"
26,AI for Business Applications,AI ML,Beginner,"ai automation business prediction analytics","Use AI for practical business problems"
27,Time Series Forecasting,AI ML,Advanced,"time series forecasting prediction trends","Predict future values from time-based data"
28,Resume and LinkedIn Optimization,Career,Beginner,"resume linkedin portfolio github job search","Improve professional profile for jobs"
29,Python Automation Projects,Programming,Intermediate,"python automation files scripts tasks","Automate daily tasks using Python"
30,End-to-End ML Project Building,AI ML,Advanced,"ml project pipeline deployment documentation","Build complete ML projects from start to finish"
31,Computer Vision Basics,AI ML,Intermediate,"computer vision images opencv detection","Learn image processing and object detection basics"
32,OpenCV Image Processing,AI ML,Intermediate,"opencv image processing filters contours","Process and analyze images using OpenCV"
33,Generative AI Fundamentals,AI ML,Beginner,"generative ai prompts llm chatbot","Understand generative AI and prompt-based systems"
34,Prompt Engineering,AI ML,Beginner,"prompt engineering chatgpt ai responses","Write better prompts for AI tools"
35,Data Structures in Python,Programming,Intermediate,"python lists stacks queues dictionaries","Learn core data structures using Python"
36,Algorithms for Beginners,Programming,Beginner,"algorithms sorting searching problem solving","Understand basic algorithms and logic building"
37,Excel for Data Analysis,Analytics,Beginner,"excel formulas pivot tables charts","Analyze data using Excel tools"
38,Tableau Dashboard Development,Analytics,Intermediate,"tableau dashboards visualization business intelligence","Create interactive Tableau dashboards"
39,Big Data Introduction,Data Science,Intermediate,"big data hadoop spark analytics","Learn big data concepts and tools"
40,Apache Spark Basics,Data Science,Advanced,"spark pyspark big data processing","Process large datasets using Spark"
41,Cybersecurity Fundamentals,Security,Beginner,"cybersecurity network security threats","Learn basics of cybersecurity"
42,Software Testing Basics,Software Engineering,Beginner,"testing manual testing test cases bugs","Understand software testing concepts"
43,Agile Project Management,Management,Beginner,"agile scrum project management sprint","Learn Agile and Scrum workflow"
44,Docker for Beginners,DevOps,Intermediate,"docker containers images deployment","Package applications using Docker"
45,CI CD Pipeline Basics,DevOps,Intermediate,"ci cd github actions automation deployment","Automate testing and deployment workflows"
46,AWS Cloud Practitioner,Cloud,Beginner,"aws cloud ec2 s3 deployment","Learn AWS cloud basics"
47,Azure Fundamentals,Cloud,Beginner,"azure cloud services deployment","Understand Microsoft Azure fundamentals"
48,Data Engineering Basics,Data Engineering,Intermediate,"etl pipelines data warehouse sql python","Build basic data pipelines"
49,ETL Pipeline Development,Data Engineering,Advanced,"etl airflow pipelines automation warehouse","Create automated ETL workflows"
50,Portfolio Website Development,Web Development,Beginner,"html css javascript portfolio github","Build a personal portfolio website"
