text,label
"Scientists discover new planet in solar system with conditions suitable for life according to NASA research",REAL
"Government announces new education policy to improve literacy rates across rural areas",REAL
"Stock market reaches all time high as economy shows strong recovery signs",REAL
"New vaccine approved by health authorities after successful clinical trials",REAL
"Local farmers receive government subsidies to boost agricultural production",REAL
"University researchers develop eco-friendly battery that lasts three times longer",REAL
"International summit on climate change results in new emissions reduction agreements",REAL
"Hospital introduces robot-assisted surgery reducing recovery time by 40 percent",REAL
"Central bank raises interest rates to control inflation amid economic concerns",REAL
"Electric vehicle sales increase by 60 percent as fuel prices continue to rise",REAL
"New renewable energy plant powers 50000 homes using solar and wind energy",REAL
"Government launches digital literacy program for senior citizens across the country",REAL
"Research shows regular exercise reduces risk of heart disease by 35 percent",REAL
"Tech company announces 10000 new jobs in artificial intelligence sector",REAL
"Scientists develop biodegradable plastic alternative from sugarcane waste",REAL
"Public transport system upgraded with new electric buses in major cities",REAL
"National space agency successfully launches satellite for weather monitoring",REAL
"Study finds Mediterranean diet significantly improves mental health outcomes",REAL
"Water conservation program saves millions of litres in drought-affected regions",REAL
"International trade agreement signed to reduce tariffs on agricultural exports",REAL
"SHOCKING: Drinking bleach cures cancer instantly doctors dont want you to know",FAKE
"Aliens have landed in New York City and government is hiding the truth from public",FAKE
"Bill Gates microchipping people through COVID vaccines secret plan exposed",FAKE
"5G towers spreading coronavirus proven by secret documents leaked online",FAKE
"Celebrity secretly arrested for running underground criminal empire sources say",FAKE
"Moon landing was completely faked in Hollywood studio new evidence confirms",FAKE
"Eating chocolate three times daily reverses diabetes completely says miracle study",FAKE
"World leaders meeting secretly to implement global population reduction plan",FAKE
"Ancient cure found in jungle destroys all cancer cells overnight permanently",FAKE
"Government adding mind control chemicals to tap water to control population",FAKE
"Scientist who discovered vaccine dangers found dead mysterious circumstances",FAKE
"New world order plans to abolish all private property by 2030 leaked document",FAKE
"Miracle berry from Amazon jungle burns fat 10 times faster than exercise",FAKE
"Secret society controls all world governments banks and media outlets confirmed",FAKE
"Drinking hot lemon water on empty stomach kills all viruses in 24 hours",FAKE
"Smartphones emit radiation that causes brain tumors government is hiding this",FAKE
"Free energy device suppressed by oil companies revolutionary inventor claims",FAKE
"Famous actor caught secretly funding terrorism government covers up scandal",FAKE
"Underground city discovered beneath major capital city housing shadow government",FAKE
"Scientists confirm flat earth theory after decades of hiding the real truth",FAKE
"Political leader bribed by foreign country to betray national secrets revealed",FAKE
"Miracle pill discovered cures all diseases including AIDS cancer diabetes forever",FAKE
"Chemtrails from planes poisoning population with toxic chemicals every day",FAKE
"Social media companies recording private conversations and selling to government",FAKE
"Ancient Mayan prophecy predicts world leader assassination in coming months",FAKE
"Space agency faked Mars mission all footage filmed in secret desert location",FAKE
"Natural herb banned by FDA because it cures everything doctors losing money",FAKE
"Secret meeting of world billionaires to depopulate earth by 90 percent exposed",FAKE
"New research confirms regular coffee consumption reduces risk of Alzheimer disease",REAL
"City council approves budget for new library and community center construction",REAL
"Athletes from 50 countries participate in international sports tournament this week",REAL
"Technology startup raises 50 million dollars to expand affordable internet access",REAL
"Annual rainfall in region highest in decade boosting water reservoir levels",REAL
"Museum unveils ancient artifacts discovered during city construction project",REAL
"School program teaching coding to children shows improved problem solving skills",REAL
"Marine biologists discover new coral reef ecosystem in Pacific Ocean depths",REAL
"Local government introduces stricter air quality standards for industrial areas",REAL
"Health department launches free vaccination campaign for children under five",REAL
"President signs new infrastructure bill worth billions for road and bridge repairs",REAL
"Scientists warn about rising sea levels threatening coastal cities worldwide",REAL
"New app helps students learn mathematics through interactive games and puzzles",REAL
"Hospital reports breakthrough in treatment of rare childhood disease",REAL
"Government launches scheme to provide affordable housing for low income families",REAL
"Research team finds new species of deep sea fish in Pacific Ocean",REAL
"Company recalls product after safety concerns raised by consumer protection agency",REAL
"International team of scientists maps entire human genome with new technology",REAL
"Railway network expansion project to connect remote villages approved by ministry",REAL
"Study confirms link between air pollution and increased respiratory illness rates",REAL
"COVID vaccine was engineered to alter human DNA permanently secret lab confirms",FAKE
"Prominent politician runs secret drug cartel exposed by anonymous insider source",FAKE
"Fluoride in water causes memory loss and brain damage governments hiding study",FAKE
"Hidden camera footage shows world leaders planning fake nuclear attack hoax",FAKE
"Ancient lost city discovered proving advanced civilization existed before history",FAKE
"Tech billionaire funds secret project to control weather for political gain",FAKE
"Scientists prove that humans only use 10 percent of brain rest can be unlocked",FAKE
"Government creates fake news stories to distract public from real crisis",FAKE
"Eating specific combination of foods every morning reverses aging by 20 years",FAKE
"Shadow banking cartel manipulates all stock markets for hidden elite group",FAKE
